day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback
2025-07-18,2025-07-18 12:00:00+00:00,long,119304.8,118976.78,119851.5,2025-07-18 13:00:00+00:00,118976.78,stop_loss,-20.0,-1.0,False
2025-07-19,2025-07-19 12:30:00+00:00,short,118112.6,118370.19714285716,117683.27142857143,2025-07-19 14:30:00+00:00,117683.27142857143,take_profit,33.33333333333258,1.666666666666629,False
2025-07-22,2025-07-22 12:00:00+00:00,long,119250.9,118964.00571428571,119729.05714285714,2025-07-22 18:45:00+00:00,119729.05714285714,take_profit,33.33333333333401,1.6666666666667005,False
2025-07-23,2025-07-23 12:00:00+00:00,long,118614.7,118219.79714285715,119272.87142857142,2025-07-23 12:30:00+00:00,118219.79714285715,stop_loss,-20.0,-1.0,False
2025-07-25,2025-07-25 12:15:00+00:00,short,116227.4,116496.07142857142,115779.61428571428,2025-07-25 13:30:00+00:00,115779.61428571428,take_profit,33.33333333333333,1.6666666666666667,False
2025-07-27,2025-07-27 12:15:00+00:00,short,117954.8,118232.77142857143,117491.51428571428,2025-07-27 14:00:00+00:00,118232.77142857143,stop_loss,-20.0,-1.0,False
2025-07-28,2025-07-28 12:00:00+00:00,long,118887.5,118545.98,119456.7,2025-07-28 13:15:00+00:00,118545.98,stop_loss,-20.0,-1.0,False
2025-07-29,2025-07-29 12:15:00+00:00,long,118908.1,118612.76285714286,119400.32857142857,2025-07-29 13:45:00+00:00,118612.76285714286,stop_loss,-20.0,-1.0,False
2025-07-31,2025-07-31 12:45:00+00:00,long,118580.0,118152.77428571429,119292.04285714286,2025-07-31 13:15:00+00:00,118152.77428571429,stop_loss,-20.0,-1.0,False
2025-08-01,2025-08-01 12:00:00+00:00,long,115441.2,114984.40285714285,116202.52857142857,2025-08-01 13:30:00+00:00,114984.40285714285,stop_loss,-20.0,-1.0,False
2025-08-03,2025-08-03 12:00:00+00:00,short,113688.6,113889.32571428572,113354.05714285716,2025-08-03 12:30:00+00:00,113889.32571428572,stop_loss,-20.0,-1.0,False
